                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1357,                0.89466,                 1.1372,                0.78699,                0.68583,                0.76594,                0.53112,                0.99119,                0.69383,                 1.0329,               0.006634,               0.006634,               0.006634
                     37,                 1.1341,                0.89226,                 1.1362,                 0.7974,                0.68072,                0.76748,                0.53317,                0.98855,                0.69085,                 1.0304,               0.006535,               0.006535,               0.006535
                     38,                 1.1284,                0.88323,                  1.133,                 0.7964,                 0.6797,                0.76861,                0.53488,                0.98547,                0.68627,                  1.029,               0.006436,               0.006436,               0.006436
                     39,                  1.123,                0.87829,                 1.1317,                0.79353,                0.68363,                0.77008,                 0.5369,                0.98226,                0.68248,                 1.0277,               0.006337,               0.006337,               0.006337
                     40,                 1.1251,                0.87787,                 1.1289,                0.79885,                0.68089,                0.77086,                0.53874,                0.97965,                0.67954,                 1.0256,               0.006238,               0.006238,               0.006238
                     41,                 1.1217,                0.87149,                  1.127,                0.80021,                0.68308,                0.77233,                0.54028,                0.97666,                0.67607,                 1.0238,               0.006139,               0.006139,               0.006139
                     42,                 1.1172,                0.86841,                 1.1243,                0.79432,                0.68866,                0.77356,                0.54214,                 0.9739,                0.67441,                 1.0216,                0.00604,                0.00604,                0.00604
                     43,                 1.1165,                0.86703,                 1.1242,                0.79123,                0.69307,                0.77389,                0.54319,                0.97192,                0.67165,                 1.0201,               0.005941,               0.005941,               0.005941
                     44,                 1.1145,                0.86434,                 1.1221,                0.78788,                0.69486,                0.77437,                0.54438,                0.97106,                0.66899,                 1.0201,               0.005842,               0.005842,               0.005842
                     45,                 1.1114,                0.86142,                   1.12,                0.78867,                0.69455,                0.77543,                0.54545,                0.96918,                  0.667,                 1.0191,               0.005743,               0.005743,               0.005743
                     46,                 1.1081,                0.85801,                 1.1199,                0.79148,                0.69478,                0.77639,                 0.5463,                0.96745,                0.66467,                 1.0182,               0.005644,               0.005644,               0.005644
                     47,                 1.1053,                0.85225,                 1.1168,                0.78842,                0.69754,                0.77761,                0.54698,                0.96674,                0.66252,                 1.0176,               0.005545,               0.005545,               0.005545
                     48,                 1.1009,                0.84724,                 1.1159,                0.78879,                0.70035,                0.77809,                0.54742,                0.96533,                0.66052,                 1.0167,               0.005446,               0.005446,               0.005446
                     49,                 1.1006,                0.84609,                  1.114,                0.78748,                0.70202,                0.77878,                0.54814,                0.96408,                0.65873,                 1.0159,               0.005347,               0.005347,               0.005347
                     50,                 1.0965,                0.84187,                 1.1126,                0.78985,                0.70139,                0.77945,                0.54935,                0.96263,                0.65735,                  1.015,               0.005248,               0.005248,               0.005248
                     51,                 1.0929,                0.84014,                 1.1122,                0.79259,                0.70154,                0.78016,                0.55005,                0.96153,                0.65608,                 1.0145,               0.005149,               0.005149,               0.005149
                     52,                 1.0954,                0.84034,                 1.1113,                0.79435,                0.70058,                0.78098,                0.55079,                0.96044,                0.65475,                 1.0138,                0.00505,                0.00505,                0.00505
                     53,                 1.0853,                0.83363,                 1.1094,                0.79767,                0.69912,                0.78147,                0.55143,                0.95936,                0.65327,                 1.0133,               0.004951,               0.004951,               0.004951
                     54,                 1.0902,                0.83198,                 1.1059,                0.79735,                0.69816,                 0.7816,                0.55213,                0.95832,                0.65202,                 1.0125,               0.004852,               0.004852,               0.004852
                     55,                 1.0819,                0.82414,                 1.1044,                0.79875,                0.69884,                0.78223,                0.55263,                0.95715,                0.65102,                 1.0116,               0.004753,               0.004753,               0.004753
                     56,                 1.0834,                0.82636,                 1.1048,                0.80117,                 0.6986,                0.78282,                0.55327,                0.95615,                0.64995,                  1.011,               0.004654,               0.004654,               0.004654
                     57,                 1.0796,                0.81928,                 1.1011,                0.80277,                0.69881,                0.78348,                0.55367,                0.95485,                0.64848,                 1.0101,               0.004555,               0.004555,               0.004555
                     58,                 1.0729,                0.81782,                 1.0993,                0.80284,                0.69904,                0.78428,                0.55438,                0.95374,                0.64736,                 1.0094,               0.004456,               0.004456,               0.004456
                     59,                 1.0748,                0.81398,                 1.0989,                0.80273,                0.69974,                0.78472,                0.55497,                0.95243,                0.64625,                 1.0085,               0.004357,               0.004357,               0.004357
                     60,                 1.0686,                0.80918,                  1.098,                0.80289,                0.70034,                0.78562,                0.55595,                0.95127,                0.64472,                 1.0078,               0.004258,               0.004258,               0.004258
                     61,                 1.0702,                0.80679,                 1.0967,                0.80409,                0.70172,                0.78591,                0.55627,                0.95034,                0.64348,                 1.0071,               0.004159,               0.004159,               0.004159
                     62,                 1.0682,                0.80273,                  1.094,                0.80295,                0.70235,                0.78655,                0.55705,                0.94918,                0.64197,                 1.0064,                0.00406,                0.00406,                0.00406
                     63,                 1.0616,                0.79695,                 1.0923,                0.80618,                 0.7022,                0.78738,                0.55793,                0.94783,                0.64048,                 1.0054,               0.003961,               0.003961,               0.003961
