frame,track_id,class_name,confidence,pixel_x,pixel_y,world_x,world_y
1,1.0,car,0.6870858669281006,634,190,-21.3359375,0.9368896484375
1,2.0,car,0.6819214224815369,733,197,-24.864681243896484,1.0110677480697632
1,3.0,car,0.6210325360298157,1128,205,-36.562931060791016,-0.25289642810821533
2,1.0,car,0.6260207891464233,634,190,-21.3359375,0.9368896484375
2,2.0,car,0.6329025626182556,734,196,-24.95199203491211,0.9144442081451416
2,3.0,car,0.5435044765472412,1128,205,-36.562931060791016,-0.25289642810821533
3,1.0,car,0.6542717218399048,634,190,-21.3359375,0.9368896484375
3,2.0,car,0.7273703217506409,735,195,-25.03961944580078,0.8174721002578735
3,3.0,car,0.571394681930542,1128,204,-36.62660598754883,-0.3303174674510956
4,1.0,car,0.6491234302520752,634,190,-21.3359375,0.9368896484375
4,3.0,car,0.5818778276443481,1128,204,-36.62660598754883,-0.3303174674510956
5,1.0,car,0.6174790263175964,635,190,-21.3772029876709,0.9308232665061951
5,3.0,car,0.61496502161026,1128,204,-36.62660598754883,-0.3303174674510956
5,2.0,car,0.561191201210022,732,195,-24.928613662719727,0.8344175815582275
6,1.0,car,0.6819181442260742,635,190,-21.3772029876709,0.9308232665061951
6,3.0,car,0.5922273397445679,1128,204,-36.62660598754883,-0.3303174674510956
6,2.0,car,0.5619545578956604,732,195,-24.928613662719727,0.8344175815582275
7,1.0,car,0.6864163875579834,635,189,-21.422483444213867,0.8334540128707886
7,3.0,car,0.5972727537155151,1128,205,-36.562931060791016,-0.25289642810821533
7,2.0,car,0.6529145240783691,731,195,-24.891538619995117,0.8400772213935852
8,1.0,car,0.6956924796104431,635,189,-21.422483444213867,0.8334540128707886
8,3.0,car,0.5053531527519226,1128,204,-36.62660598754883,-0.3303174674510956
8,2.0,car,0.6292336583137512,731,195,-24.891538619995117,0.8400772213935852
9,1.0,car,0.6672954559326172,635,189,-21.422483444213867,0.8334540128707886
9,3.0,car,0.5155301094055176,1128,204,-36.62660598754883,-0.3303174674510956
10,1.0,car,0.634178102016449,636,189,-21.46378517150879,0.8274301290512085
10,3.0,car,0.5715927481651306,1129,204,-36.652347564697266,-0.3344985544681549
10,2.0,car,0.6246448755264282,728,194,-24.83062744140625,0.7651466131210327
11,3.0,car,0.6639811396598816,1129,204,-36.652347564697266,-0.3344985544681549
11,2.0,car,0.7225797772407532,730,193,-24.955968856811523,0.6615610122680664
12,3.0,car,0.6767212748527527,1128,203,-36.690521240234375,-0.4080318212509155
12,2.0,car,0.5044578313827515,729,193,-24.918699264526367,0.6671668291091919
12,4.0,car,0.634391188621521,876,186,-30.44407081604004,-0.726332426071167
12,1.0,car,0.5098250508308411,635,187,-21.513713836669922,0.6372778415679932
13,3.0,car,0.6587918996810913,1128,203,-36.690521240234375,-0.4080318212509155
13,4.0,car,0.5915549993515015,876,186,-30.44407081604004,-0.726332426071167
13,1.0,car,0.5310422778129578,635,187,-21.513713836669922,0.6372778415679932
